City,Client ID,Client Name,Number of Records,Order ID,Zip Code,Goods Category,Goods Sub-Category,Profit,Region,Row ID,Office City Sales,State
Carbondale,1069,Pam Bennett,1,87112,62901,Office Furniture,Bookcases,1152,Central,22164,1670,Illinois
Crystal Lake,3396,Stuart Wiley,1,87542,60014,Office Furniture,Bookcases,-141,Central,19370,2328,Illinois
Granite City,2860,Joann Mullen,1,88284,62040,Office Furniture,Bookcases,199,Central,22651,5161,Illinois
Romeoville,1089,Jon Padgett,1,90131,60441,Office Furniture,Bookcases,-681,Central,21658,1249,Illinois
Saint Charles,1080,Colleen Fletcher,1,88465,60174,Office Furniture,Bookcases,68,Central,18965,436,Illinois
Mount Prospect,3131,Jonathan Reilly,1,86802,60056,Office Furniture,Bookcases,441,Central,18175,1116,Illinois
Northbrook,3197,Wallace Pugh,1,90852,60062,Office Furniture,Bookcases,-1414,Central,20206,510,Illinois
Schaumburg,1091,Joshua Keller,1,90140,60193,Office Furniture,Bookcases,-213,Central,25530,312,Illinois
West Chicago,562,Keith Fowler,1,86352,60185,Office Furniture,Bookcases,-593,Central,20071,411,Illinois
Galesburg,1793,Derek Jernigan,1,87853,61401,Office Furniture,Bookcases,-13706,Central,21284,6969,Illinois
Decatur,3398,Marc McDaniel,1,87544,62521,Office Furniture,Bookcases,1790,Central,22194,7158,Illinois
Belvidere,380,Marian Bryant,1,88939,61008,Office Furniture,Bookcases,-1059,Central,20013,2833,Illinois
Granite City,2860,Joann Mullen,1,88286,62040,Office Furniture,Bookcases,-394,Central,21892,2403,Illinois
Lafayette,1461,Norman Adams,1,86400,47905,Office Furniture,Bookcases,2788,Central,19504,5603,Indiana
Richmond,1622,Sue Boykin,1,87614,47374,Office Furniture,Bookcases,-382,Central,19302,302,Indiana
Richmond,1548,John Bray,1,88492,47374,Office Furniture,Bookcases,-83,Central,26292,112,Indiana
Lawrence,1462,Billie Hensley,1,86407,46226,Office Furniture,Bookcases,-144,Central,20930,106,Indiana
Kokomo,1434,Herman Decker,1,86833,46901,Office Furniture,Bookcases,41,Central,25018,462,Indiana
Jeffersonville,1417,Dorothy Huff,1,90542,47130,Office Furniture,Bookcases,-444,Central,20362,1114,Indiana
Burlington,1827,Vincent Hale,1,86958,52601,Office Furniture,Bookcases,-430,Central,19597,215,Iowa
Ames,1779,Samantha Hall,1,89945,50010,Office Furniture,Bookcases,-160,Central,26335,112,Iowa
West Des Moines,2987,Natalie Watts,1,91180,50265,Office Furniture,Bookcases,-104,Central,20816,1700,Iowa
Cedar Rapids,1966,Rose McCarthy,1,89457,52402,Office Furniture,Bookcases,553,Central,19029,3087,Iowa
Kansas City,3043,Ruby Horowitz,1,86105,66104,Office Furniture,Bookcases,-801,Central,20257,876,Kansas
Shawnee,286,Virginia Gay,1,89761,66203,Office Furniture,Bookcases,-530,Central,19169,1156,Kansas
Olathe,180,Harold Briggs,1,90785,66062,Office Furniture,Bookcases,-215,Central,22200,2854,Kansas
Flint,2072,Malcolm S Lanier,1,88556,48505,Office Furniture,Bookcases,1307,Central,20824,3377,Michigan
Pontiac,3000,Priscilla Allen,1,87053,48342,Office Furniture,Bookcases,-1042,Central,21498,1174,Michigan
Muskegon,2995,Carol T Pitts,1,88915,49442,Office Furniture,Bookcases,-145,Central,20087,216,Michigan
East Lansing,1976,Sherri F Vogel,1,89039,48823,Office Furniture,Bookcases,-851,Central,25731,552,Michigan
Detroit,373,Jeanne Werner,1,24193,48234,Office Furniture,Bookcases,-164,Central,3392,9540,Michigan
Midland,2792,Emma Copeland,1,88765,48640,Office Furniture,Bookcases,-14,Central,23180,1056,Michigan
Trenton,3157,Bernard Boyette,1,86905,48183,Office Furniture,Bookcases,-776,Central,24999,479,Michigan
Royal Oak,1961,Jacqueline McMahon,1,88859,48073,Office Furniture,Bookcases,-228,Central,18743,1075,Michigan
Prior Lake,1707,Rebecca Frazier Foley,1,88789,55372,Office Furniture,Bookcases,-365,Central,18714,236,Minnesota
Saint Louis Park,503,Jeanne Woodruff,1,91009,55416,Office Furniture,Bookcases,-346,Central,20545,1469,Minnesota
Owatonna,3179,Marie Pittman,1,86993,55060,Office Furniture,Bookcases,505,Central,18206,1796,Minnesota
Mankato,2896,Anna Ellis,1,86932,56001,Office Furniture,Bookcases,-306,Central,18193,1291,Minnesota
Mankato,2896,Anna Ellis,1,86925,56001,Office Furniture,Bookcases,4861,Central,19909,7045,Minnesota
Inver Grove Heights,2833,Tim Connolly,1,91030,55076,Office Furniture,Bookcases,-222,Central,20594,609,Minnesota
Richfield,3181,Herbert Cline,1,86991,55423,Office Furniture,Bookcases,64,Central,25852,979,Minnesota
Gladstone,2131,Mary Hewitt,1,90079,64118,Office Furniture,Bookcases,-408,Central,21902,302,Missouri
Ozark,1492,Don Beard,1,88005,65721,Office Furniture,Bookcases,-87,Central,18997,224,Missouri
Joplin,2264,Helen Dickerson,1,86614,64804,Office Furniture,Bookcases,-1508,Central,19068,1562,Missouri
Springfield,1442,Rodney Field,1,89078,65807,Office Furniture,Bookcases,-485,Central,22637,768,Missouri
North Platte,2061,Marianne Carey,1,87146,69101,Office Furniture,Bookcases,-273,Central,20841,261,Nebraska
Columbus,1466,Wesley Reid,1,91116,68601,Office Furniture,Bookcases,-724,Central,25917,1782,Nebraska
Norfolk,445,Judy Barrett,1,88084,68701,Office Furniture,Bookcases,-513,Central,23862,1767,Nebraska
Ponca City,2783,Caroline Duffy,1,86988,74601,Office Furniture,Bookcases,-121,Central,18205,1324,Oklahoma
Mustang,877,Christian Branch,1,91385,73064,Office Furniture,Bookcases,-176,Central,26068,945,Oklahoma
Stillwater,2785,George Shields,1,86982,74074,Office Furniture,Bookcases,1035,Central,24383,4352,Oklahoma
Pharr,3162,Melvin Willis,1,87103,78577,Office Furniture,Bookcases,99,Central,18392,961,Texas
Allen,826,Ronnie Shaffer,1,89265,75002,Office Furniture,Bookcases,-285,Central,24237,1029,Texas
Amarillo,885,Malcolm Robertson,1,89561,79109,Office Furniture,Bookcases,-433,Central,19285,935,Texas
Austin,887,Cindy Hinton,1,89557,78745,Office Furniture,Bookcases,-13,Central,22931,39,Texas
Lufkin,1368,Patsy Harmon,1,90518,75901,Office Furniture,Bookcases,-68,Central,24461,131,Texas
Beaumont,889,Elsie G Ferguson,1,89547,77705,Office Furniture,Bookcases,44,Central,25315,221,Texas
Deer Park,245,Julie Pruitt,1,86719,77536,Office Furniture,Bookcases,-1481,Central,20057,1046,Texas
Dallas,563,Marjorie Pope,1,14819,75081,Office Furniture,Bookcases,-765,Central,2071,1584,Texas
Plano,3163,Lorraine Lamb,1,87099,75023,Office Furniture,Bookcases,-204,Central,20101,190,Texas
Rosenberg,61,Charlotte Stanton,1,87409,77471,Office Furniture,Bookcases,185,Central,22867,2292,Texas
Baytown,888,Phyllis Adcock,1,89559,77520,Office Furniture,Bookcases,-565,Central,22992,2426,Texas
Pasadena,3141,Jerome McIntosh,1,86370,77506,Office Furniture,Bookcases,-1431,Central,18101,1260,Texas
Wichita Falls,1358,Eleanor Barbour,1,88186,76308,Office Furniture,Bookcases,-1129,Central,22155,907,Texas
Leander,1245,Jimmy Strauss,1,88424,78641,Office Furniture,Bookcases,-252,Central,24359,325,Texas
Port Arthur,3184,Irene Conway,1,90693,77642,Office Furniture,Bookcases,437,Central,22208,3220,Texas
Cedar Park,1253,Vickie Coates,1,89981,78613,Office Furniture,Bookcases,-373,Central,19323,699,Texas
Wauwatosa,3359,Jeffrey Cheng,1,91441,53213,Office Furniture,Bookcases,17,Central,22287,1508,Wisconsin
Franklin,2332,Marguerite Norton,1,89616,53132,Office Furniture,Bookcases,325,Central,19432,4375,Wisconsin
Freeport,1792,Curtis C Andrews,1,87857,61032,Office Furniture,Chairs & Chairmats,-1766,Central,18406,1185,Illinois
Glendale Heights,2342,Danny Francis Bell,1,88997,60139,Office Furniture,Chairs & Chairmats,1975,Central,22390,6158,Illinois
Glenview,2343,Francis Goldberg,1,88995,60025,Office Furniture,Chairs & Chairmats,-78,Central,24402,449,Illinois
Downers Grove,1514,Gregory Bridges,1,90467,60516,Office Furniture,Chairs & Chairmats,150,Central,23675,367,Illinois
Glenview,2343,Francis Goldberg,1,88994,60025,Office Furniture,Chairs & Chairmats,12,Central,26295,299,Illinois
Elk Grove Village,1687,Ernest Dawson,1,86975,60007,Office Furniture,Chairs & Chairmats,-83,Central,19806,2509,Illinois
Highland Park,2409,Florence Wilder,1,85819,60035,Office Furniture,Chairs & Chairmats,-542,Central,20384,776,Illinois
Mundelein,3132,Anita Kang,1,86790,60060,Office Furniture,Chairs & Chairmats,-65,Central,20483,519,Illinois
Chicago,1402,Wesley Tate,1,12129,60653,Office Furniture,Chairs & Chairmats,-1198,Central,1681,9704,Illinois
Galesburg,1793,Derek Jernigan,1,87855,61401,Office Furniture,Chairs & Chairmats,-1580,Central,23569,2058,Illinois
Tinley Park,303,Bill Bowers Li,1,86134,60477,Office Furniture,Chairs & Chairmats,-1776,Central,23746,1068,Illinois
Country Club Hills,1503,Leo Riley,1,89197,60478,Office Furniture,Chairs & Chairmats,1011,Central,26197,3465,Illinois
Mundelein,3132,Anita Kang,1,86800,60060,Office Furniture,Chairs & Chairmats,-140,Central,19154,633,Illinois
Vernon Hills,540,Ruth Lamm,1,91179,60061,Office Furniture,Chairs & Chairmats,-70,Central,25716,369,Illinois
Chicago,962,Yvonne Clarke,1,24610,60610,Office Furniture,Chairs & Chairmats,-128,Central,3451,883,Illinois
Gurnee,2378,Edith Norton,1,91327,60031,Office Furniture,Chairs & Chairmats,2328,Central,24009,3841,Illinois
Chicago,2403,Kara Gregory,1,3905,60699,Office Furniture,Chairs & Chairmats,-377,Central,573,4713,Illinois
Oswego,558,Lucy Pennington,1,91156,60543,Office Furniture,Chairs & Chairmats,-190,Central,20782,382,Illinois
Carbondale,1135,Daniel Webb Stephens,1,87942,62901,Office Furniture,Chairs & Chairmats,4580,Central,18440,6638,Illinois
Country Club Hills,1503,Leo Riley,1,89197,60478,Office Furniture,Chairs & Chairmats,3784,Central,26198,5484,Illinois
Glendale Heights,2342,Danny Francis Bell,1,88997,60139,Office Furniture,Chairs & Chairmats,152,Central,22391,892,Illinois
Elmhurst,1769,Judith French,1,89111,60126,Office Furniture,Chairs & Chairmats,2825,Central,19299,6426,Illinois
Kankakee,2499,Geoffrey Koch,1,88319,60901,Office Furniture,Chairs & Chairmats,1240,Central,20296,2815,Illinois
Freeport,1792,Curtis C Andrews,1,87854,61032,Office Furniture,Chairs & Chairmats,678,Central,20129,1279,Illinois
Carpentersville,1250,Kara Patton,1,87877,60110,Office Furniture,Chairs & Chairmats,74,Central,18414,2508,Illinois
Carpentersville,1250,Kara Patton,1,87879,60110,Office Furniture,Chairs & Chairmats,1581,Central,19745,2478,Illinois
Mundelein,3132,Anita Kang,1,86804,60060,Office Furniture,Chairs & Chairmats,212,Central,21478,3689,Illinois
Mundelein,3132,Anita Kang,1,86804,60060,Office Furniture,Chairs & Chairmats,904,Central,21479,1446,Illinois
Park Ridge,572,Nancy White,1,86562,60068,Office Furniture,Chairs & Chairmats,-3,Central,21666,302,Illinois
Crystal Lake,3396,Stuart Wiley,1,87542,60014,Office Furniture,Chairs & Chairmats,3480,Central,19371,5044,Illinois
Woodstock,1648,Nina Bowles,1,91047,60098,Office Furniture,Chairs & Chairmats,2823,Central,23599,4091,Illinois
Oak Lawn,221,Colleen Wilcox,1,87233,60453,Office Furniture,Chairs & Chairmats,-102,Central,21643,289,Illinois
Chicago,1402,Wesley Tate,1,48452,60653,Office Furniture,Chairs & Chairmats,-707,Central,6797,3369,Illinois
Batavia,326,Brenda May,1,90976,60510,Office Furniture,Chairs & Chairmats,-218,Central,20487,1719,Illinois
Chicago,962,Yvonne Clarke,1,58433,60610,Office Furniture,Chairs & Chairmats,-45,Central,8173,2755,Illinois
